aid,title,video_url,cover_url,publish_time,duration,category,description,tags,view,like,reply,favorite,share,coin,danmaku,hot_comments,bvid
114475457846058,什么特工能爆破环保组织？【神奇组织30】,https://www.bilibili.com/video/BV12Y53z8ECD,http://i2.hdslb.com/bfs/archive/d1891e517ee9849c5cd236ace7b55ccb6d70111b.jpg,2025-05-09T11:00:00+08:00,39:11,人文历史,本篇为神奇组织之DGSE。,人文历史档案馆; 组织; 犯罪; 环保; 人文; 法国; 知识; 历史; 2025世界读书日; 世界史; 特工,4727173,237341,7486,43170,6571,117873,24116,哈哈哈哈 我觉得可以拍个电影啊 喜剧效果爆炸[doge][doge]; 密特朗也太容易上头和小心眼了草，怪不得之前因为去布基纳法索访问时和桑卡拉互喷了之后就暗搓搓计划暗杀他; 看完南京照相馆，心情很沉重，来可汗这里缓缓; 咋这么多事情看下来，感觉法国人都是自取其辱的时候多，只能说英国法国真是一对欧罗巴活宝[笑哭]; 所以说1982年针对美法联军的爆炸的原因是什么; 专业。; 全文最惨:佩雷斯，卡邦; [吃瓜][吃瓜]; 这组织在我国也搞过不少破坏，比如偷我们学校的科研材料，还抨击我们学校内部的防鸟网破坏生态。把我们老师气的咬牙切齿破口大骂，说他们就是恐怖组织; 世界真是一个巨大的草台班子,BV12Y53z8ECD
114447406341300,谁是对苏联破坏力最大的特工？【硬核狠人83】,https://www.bilibili.com/video/BV11tVczFExN,http://i0.hdslb.com/bfs/archive/b14cb5c30f035de7e49e6e42c106e2a9b7982d13.jpg,2025-05-05T11:00:00+08:00,36:06,人文历史,本篇为硬核狠人之维特罗夫。  参考资料： 谢尔盖·克斯汀2009年出版《你好，告别：关于改变历史进程卧底的真相》 欧内斯特·沃尔克曼2005年出版《间谍：改变历史进程的秘密特工》 桑德拉·格里姆斯2012年出版《叛国圈》 沃尔顿·蒂尔里1986年出版《克格勃在法国》 法利戈特·德·罗杰1999年出版《DST：秘密警察》 阿列克谢·法兰西2001年出版《冷战秘密策划的历史》 詹姆斯·布雷登2004年出版《主要对手：中情局和克格勃最后摊牌的内部故事》,人文历史档案馆; 知识; 苏联; 人文; 法国; 历史; 犯罪; 2025世界读书日; 特工; 世界史; 狠人,4531079,230195,12122,43567,6907,110647,29850,有信仰和信仰坍塌的力量都是巨大的; 致敬的是什么心理？; 他连报复的方向都全错，他应该报复苏联决策层，而不是报复自己兢兢业业心怀理想的同事，好比老板压榨他，他把同事刀了，还自诩报复了公司，[辣眼睛]; 5:24; 依旧是钢铁是怎样炼成的的那句名言; 对于刺杀那段 由美国柯林斯著《暴力》中提到暴力是围绕在冲突性紧张和恐惧周围的路径，没有暴力的个体，只有暴力的情景。在现实中想要实施暴力是非常困难的，因施暴者要克服作为社会性动物与人产生和谐韵律的本能。使维特罗夫克服恐惧的是对于叛变泄露后果的更大的恐惧。; 信仰崩塌后的一个普通人罢了。; 致敬皮埃尔布尔迪奥尔同志; 他当上科技情报局二把手的时候，我觉得是有机会为国家在科技发展上效力的，有机会重拾共产主义理想，为了可能实现的那一天添砖加瓦。不知道当时的他是什么样的心境; 一个人对一个东西爱的越深沉，在失望的时候就会对其恨之入骨。原来爱的越深，之后恨意就越大。曾经对祖国的热爱都会立刻化为对祖国的恨。,BV11tVczFExN
114418851519059,德国最硬核的劫狱方法是什么？【硬核狠人82】,https://www.bilibili.com/video/BV1obGrzoEmM,http://i1.hdslb.com/bfs/archive/c817ab414130f817a20e2071c8af4208cc99ed16.jpg,2025-04-29T11:02:17+08:00,38:42,人文历史,本篇为硬核狠人之霍恩。,人文历史档案馆; 人文; 知识; 越狱; 犯罪; 历史; 德国; 硬核; 2025世界读书日; 世界史; 狠人,4798785,244333,6501,45656,7571,114447,27404,555; 通辽王约翰可汗是否已有内室？（Doge）; 他偷装甲车劫狱居然只判五年吗？; 盗亦有道; 这大爷（霍恩）要不是小时候的变故，一定会是个十足的好人吧; 霍恩：在小时候，因为车辆防护不足，我失去了双亲。但是，这次我不会重蹈覆辙。; 底层人的感情，没那么干净，没那么纯粹，但是很热烈。; [doge_金箍]; 这期的故事我完全没想到居然是现实发生的，感觉真的就跟电影情节一样，我甚至还以为在讲某个游戏的主角故事，果然艺术来源于生活[笑哭]; 如此勤政，望之不似人君[doge_金箍][doge_金箍][doge_金箍],BV1obGrzoEmM
114385146090776,如何刺杀尼克松？【硬核狠人81】,https://www.bilibili.com/video/BV1vVL4zpEAV,http://i1.hdslb.com/bfs/archive/8a77e281942e65a41d864802e778840ec4568179.jpg,2025-04-24T11:00:00+08:00,35:27,人文历史,本篇为硬核狠人之布雷默。  参考资料： 布雷默1973年出版《刺客日记》 托马斯·海利1996年出版《乔治·华莱士的两次死亡：宽恕问题》 艾米·陶宾2000年出版《出租车司机》 詹姆斯·克拉克1982年出版《美国刺客：政治的黑暗面》 杰弗里·麦克纳布2006年出版《出租车司机的制作》 杰弗里·史密斯2009年《战斗小法官：乔治·华莱士的生活和时代》,人文历史档案馆; 硬核; 人文; 历史; 美国; 知识; 犯罪; 2025世界读书日; 尼克松; 世界史; 狠人,4946703,242091,6428,46943,7697,118780,27447,刚从那边走过来https://b23.tv/BV1P44y117HS; 水门，电话门，艳照门，这还是个堵门事件; 他等于间接改变了人类历史，没有他就没有辛克利刺杀里根，里根就不会更加坚定意志全力反苏，或许苏联能多活几年，或许当今世界格局会不一样; 誓死忠诚可汗。; 忠诚！; 玛丽老师：; 华莱士枪击阿甘正传里面好像有; 为什么要刺杀华莱士，不刺杀肯德基; 666; 布雷默现在应该出来了吧，如果他还健在的话，真想去拜访一下他,BV1vVL4zpEAV
114351692324695,工程师如何在海上建国？【神奇组织29】,https://www.bilibili.com/video/BV1LL5ez3EzG,http://i2.hdslb.com/bfs/archive/ddf950cbb2b80dbe1d0ab094b7f76365be729dc1.jpg,2025-04-18T11:00:00+08:00,41:04,人文历史,本篇为神奇组织之玫瑰岛共和国。,人文历史档案馆; 历史; 意大利; 知识; 奇闻; 政治; 硬核; 人文; 2025世界读书日; 狠人; 玫瑰岛,4377673,240707,7636,46482,7030,132155,24300,和平源于力量，[doge_金箍]; 要是有人去了火星建国会怎样？; [doge][doge][doge]; 我感觉他不如去太平洋穷国里找个无人岛建国，就是虽然有主权但是国家很弱小，鸟不拉屎没人去开发的那种，给政府一笔钱估计就能买下来; 好有意思; ch，没人说吗; 玫瑰岛在下雨; 思想原来是这样产生的[doge_金箍][doge_金箍][doge_金箍]; 这期以前发过？; 异地恋为什么有4个人？,BV1LL5ez3EzG
114306762937055,谁是国际情报界的“拼好谍”？【硬核狠人80】,https://www.bilibili.com/video/BV1W9dAYfENh,http://i2.hdslb.com/bfs/archive/a6bb9a7fee9ed37c860e828ace53b27457fd6ba2.jpg,2025-04-10T11:00:00+08:00,35:35,人文历史,本篇为硬核狠人之费尔夫。,人文历史档案馆; 历史; 知识; 人文; 德国; 世界史; 克格勃; 间谍; 狠人; 溪木源; 宝藏知识UP跃迁计划,6020173,323075,9312,75185,13509,189698,26317,"克格勃仗义啊！; 使我有洛阳二顷田,安能佩六国相印; [喜欢]; 真的报君黄金台上意，提携玉龙为君死; 别人吃这口饭是因为老天爷追着喂饭吃。 主角吃这口饭是因为老天爷只留给他这口饭吃，其他都拿走了[喜极而泣]。; 女为悦己者容   士为知己者死; 震惊🤯; 这次再看对他纳粹意识形态的妻子很好奇; kgb太性情 太仁义了！; 牛人图安稳，奈何实力不允许。",BV1W9dAYfENh
114234318919047,阿勃维尔能秀到啥程度？【神奇组织28】,https://www.bilibili.com/video/BV15TZ5YmE7C,http://i0.hdslb.com/bfs/archive/38156e8e572d98fa47b8fe2befb7463235fb37ed.jpg,2025-03-28T11:00:00+08:00,36:06,人文历史,本篇为神奇组织之土星情报中心。  参考资料： 乔治·佐巴赫2009年出版《土星、信使、修道院和别列津诺》 苏多普拉托夫1994年出版《情报和克里姆林宫：一个不受欢迎的证人的笔记》 爱德华·沙拉波夫2009年出版《苏多普拉托夫VS卡纳里斯》 爱德华·沙拉波夫2013年出版《斯大林的惩罚之剑》 库里诺克·瓦伦丁诺维奇2018年发表于《俄罗斯和东欧历史研究杂志》上的长文《土星的真相》,人文历史档案馆; 历史; 知识; 组织; 战争; 德国; 人文; 世界史; 特工; 宝藏知识UP跃迁计划,5575442,265941,7513,53661,8744,149456,24827,我以为看视频的多少都了解点历史，二战哪里来的克格勃; 6：53; 培训间谍的机构土星中心总指挥是个敌方间谍[笑哭]; 可汗以前不是说，阿勃维尔在二战中有几次可圈可点的行动，比如说呢？; 6：54; 可汗的视频还有哪一期提到过“两千德国人在苏联境内打游击”这个假情报吗，看大家提到戈林…戈林是哪一期啊？; Watch english TV.; Doctor; 不得不说，德三的战斗力是真的强，这种情报都能打成这样[笑哭]; 下期主人公间接害死了马丁路德金，可能和格瓦拉的死也有关系，望周知。,BV15TZ5YmE7C
114193499953243,谁是德国最强刺客？【硬核狠人79】,https://www.bilibili.com/video/BV1mzXAYtEjS,http://i2.hdslb.com/bfs/archive/784658c260c7efa567573c3593f0d1c9cf4a0cfb.jpg,2025-03-21T11:00:00+08:00,38:28,人文历史,本篇为硬核狠人之埃尔塞。,人文历史档案馆; 知识; 德国; 人文; 刺客; 硬核; 战争; 二战; 历史; 世界史; 宝藏知识UP跃迁计划,5908244,401812,11045,108716,27189,351715,35365,10分钟和20昼夜毁掉了一个英雄，造化弄人。希望他所爱的妻子能在天堂知道他那伟大的丈夫所做的一切。; 致敬，真正的勇士，真正的战士，真正的好人; 无敌之人; 5：21; 何为历史，天理昭昭，因果循环; 慕尼黑还看过他的纪念碑 现在才知道他的故事[酸了]; 封神的一期 回来补币了; 看了十几遍了，这播放不上千万都可惜了; 呐  无垢天使呀; 致敬伟大的工人阶级英雄,BV1mzXAYtEjS
114108254919086,纯爱战士能惹多大祸？【硬核狠人78】,https://www.bilibili.com/video/BV1DA94YPEBa,http://i1.hdslb.com/bfs/archive/cda1681c68a7045b70ab0282ba021eb1da88f15c.jpg,2025-03-06T11:00:00+08:00,35:25,人文历史,本篇为硬核狠人之戈东诺夫。,人文历史档案馆; 知识; 苏联; 人文; 冷战; 历史; 外交; 美国; 政治; 世界史,5470431,254085,8385,44470,8705,115247,27612,5:25; 我们太原确实是太原工作法的发源地; 看完之后不知道为什么想到了甜甜圈🍩; 人总要为自己的行为付出代价的，柳德米拉为了戈登诺夫离开了自己的前夫，戈登诺夫为了前程同样也抛下柳德米拉，或许她出轨的时候以为自己选择的是爱情，但实际上她只是一脚踩进铺满草坪的泥坑。; 小巧思来的; 其实大家完全没必要因为视频里媒体的肆意宣传和群众的盲目相信而生气，现在这种情况依然很普遍[笑]; 曾经在俄罗斯呆过几年，当地人大多并不喜欢苏联，虽然是不咋科学的“身边统计学”。普遍反应苏联时期民用工业品便宜归便宜，但买不着、领不着，质量拉跨不说，创意和设计更是被阿美商品720度吊打。 其实一直就有点奇怪，可汗这儿的观众咋普遍比较怀念苏联[笑哭]人家（曾经）苏联人都觉得不行。有些朋友老说解体是高层的锅，然而并不全是。苏联又不是非洲大区的奇葩小国，民智是开了的，没有一定的民意基础这么大的事根本就成不了。; 欸？美国不是980万平方公里吗？应该比中国大一点吧; 和1948年卡森金娜那次相比，1979年这次美国人之所以退让了，我觉得还是苏联当时国力处于最后的巅峰时刻，苏攻美守的背景下美国不可能为了这个破事和苏联大闹一场; 服了美苏，这跟两情侣搁那闹别扭互相猜测有啥区别？,BV1DA94YPEBa
114074264278132,117岁的贝当为啥有一劫？【神奇组织27】,https://www.bilibili.com/video/BV1cBPHewEqi,http://i1.hdslb.com/bfs/archive/70769fcd08230555386f2c7aa02c990aaa9c7cb1.jpg,2025-02-28T11:00:00+08:00,34:29,人文历史,本篇为神奇组织之贝当盗墓小队。,人文历史档案馆; 知识; 历史; 人文; 奇闻; 法国; 犯罪; 战争; 世界史; 贝当; B站辩论季,5086883,251564,6327,45454,6373,122893,22236,[孤独摇滚_微笑]; 23:19; [笑]倒不如把贝当的元帅服安葬在杜奥蒙堡，然后让贝当穿着总统服下葬约岛[笑]; 法国二战投了还真是最符合国家利益。几个主要大国里死的人最少，战后恢复的最快。无论德三新秩序还是美苏新秩序下都是二流国家。; 111; 1973年出的事，次年法国总统蓬皮杜就因为白血病去世了; 今天是贝当元帅逝世74周年; 这事情滑稽得都能拍喜剧电影了; 豪砍; 请神儿啊[doge_金箍],BV1cBPHewEqi
114036263949666,逛公园能闯多大祸？【硬核狠人77】,https://www.bilibili.com/video/BV1dkApeWEi3,http://i1.hdslb.com/bfs/archive/13e1d60613a22ed7684696505f61a52cbd8fb59a.jpg,2025-02-21T11:00:00+08:00,38:15,人文历史,本篇为硬核狠人之卡森金娜。  参考资料： 埃利斯·撒迦利亚1950年出版《闭门之后：冷战秘史》 理查德·赫里斯1949年出版《震惊世界的罪行》 FBI1955年《苏联叛逃者报告》 苏珊·卡拉瑟斯2009年出版《冷战俘虏：监禁、越狱和洗脑》 卡森金娜回忆录《飞跃自由》,人文历史档案馆; 奇闻; 外交; 知识; 美国; 苏联; 人文; 历史; 战争; 世界史,5715576,306464,7463,64119,14217,168449,30868,观后感; 苏联精神病人（; 听到最后那段，我还以为洛马金要跳海，不过如果他真跳海了，这事不知道会弄到什么地步？; 洛马金复盘整场后:早知道给那两万了; 你才过于逆天; 你才信仰之跃; 你才人来疯; 《荤丹》; 你才钩泽; 《背叛》,BV1dkApeWEi3
